Scenario - RavensIqExp
Logfile written - 08/10/2017 10:16:57
Subject: 07

Trial	Type	Item	Picture	CorrAns	Response	AnsCorr	RespTime	AbsTime
1	Pract	1	APM_I_01.gif	0	8	No	11817	00:00:11
2	Pract	2	APM_I_02.gif	0	4	No	8700	00:00:21
3	Pract	3	APM_I_03.gif	0	5	No	16883	00:00:38
4	Pract	4	APM_I_04.gif	0	1	No	6583	00:00:46
5	Pract	5	APM_I_05.gif	0	2	No	20249	00:01:06
6	Pract	6	APM_I_06.gif	0	5	No	10117	00:01:17
1	Test	13	APM_II_01.gif	5	5	YES	25649	00:00:25
2	Test	14	APM_II_02.gif	1	1	YES	12033	00:00:38
3	Test	15	APM_II_03.gif	7	7	YES	10117	00:00:49
4	Test	16	APM_II_04.gif	4	4	YES	16882	00:01:06
5	Test	17	APM_II_05.gif	3	3	YES	10617	00:01:17
6	Test	18	APM_II_06.gif	1	1	YES	7433	00:01:25
7	Test	19	APM_II_07.gif	6	6	YES	20766	00:01:46
8	Test	20	APM_II_08.gif	1	1	YES	46199	00:02:33
9	Test	21	APM_II_09.gif	8	8	YES	6233	00:02:40
10	Test	22	APM_II_10.gif	4	4	YES	11933	00:02:53
11	Test	23	APM_II_11.gif	5	5	YES	14750	00:03:08
12	Test	24	APM_II_12.gif	6	6	YES	27316	00:03:36
13	Test	25	APM_II_13.gif	2	2	YES	33083	00:04:09
14	Test	26	APM_II_14.gif	1	1	YES	19616	00:04:30
15	Test	27	APM_II_15.gif	2	2	YES	46299	00:05:16
16	Test	28	APM_II_16.gif	4	4	YES	24717	00:05:42
17	Test	29	APM_II_17.gif	6	6	YES	36766	00:06:19
18	Test	30	APM_II_18.gif	7	7	YES	50499	00:07:10
19	Test	31	APM_II_19.gif	3	9	REP	16866	00:07:28
20	Test	32	APM_II_20.gif	8	9	REP	48682	00:08:17
21	Test	33	APM_II_21.gif	8	8	YES	51032	00:09:08
22	Test	34	APM_II_22.gif	7	7	YES	23850	00:09:33
23	Test	35	APM_II_23.gif	6	6	YES	32366	00:10:06
24	Test	36	APM_II_24.gif	3	2	No	46750	00:10:53
25	Test	37	APM_II_25.gif	7	7	YES	42616	00:11:36
26	Test	38	APM_II_26.gif	2	9	REP	69448	00:12:46
27	Test	39	APM_II_27.gif	7	9	REP	24483	00:13:11
28	Test	40	APM_II_28.gif	5	9	REP	25966	00:13:38
29	Test	41	APM_II_29.gif	6	9	REP	37249	00:14:16
30	Test	42	APM_II_30.gif	5	9	REP	44816	00:15:01
31	Test	43	APM_II_31.gif	4	9	REP	28433	00:15:30
32	Test	44	APM_II_32.gif	8	7	No	156980	00:18:08
33	Test	45	APM_II_33.gif	5	5	YES	103681	00:19:52
